Hadiach;Zinkiv;45
Zinkiv;Hadiach;45
Hadiach;Lebedyn;60
Lebedyn;Hadiach;60
Hadiach;Myrhorod;61
Myrhorod;Hadiach;61
Hadiach;Zavodske;67
Zavodske;Hadiach;67
Hadiach;Romny;71
Romny;Hadiach;71
Hadiach;Lokhvytsia;81
Lokhvytsia;Hadiach;81
Hadiach;Vorozhba;94
Vorozhba;Hadiach;94
Hadiach;Bilopillia;94
Bilopillia;Hadiach;94
Hadiach;Buryn;94
Buryn;Hadiach;94
Kremenets;Pochaiv;26
Pochaiv;Kremenets;26
Kremenets;Dubno;34
Dubno;Kremenets;34
Kremenets;Shumsk;43
Shumsk;Kremenets;43
Kremenets;Zbarazh;48
Zbarazh;Kremenets;48
Kremenets;Lanivtsi;48
Lanivtsi;Kremenets;48
Kremenets;Radyvyliv;52
Radyvyliv;Kremenets;52
Kremenets;Ternopil;62
Ternopil;Kremenets;62
Kremenets;Brody;64
Brody;Kremenets;64
Kremenets;Berestechko;74
Berestechko;Kremenets;74
Berezhany;Pidhaitsi;28
Pidhaitsi;Berezhany;28
Berezhany;Zboriv;34
Zboriv;Berezhany;34
Berezhany;Rohatyn;36
Rohatyn;Berezhany;36
Berezhany;Burshtyn;40
Burshtyn;Berezhany;40
Berezhany;Zolochiv;41
Zolochiv;Berezhany;41
Berezhany;Halych;43
Halych;Berezhany;43
Berezhany;Monastyryska;47
Monastyryska;Berezhany;47
Berezhany;Peremyshliany;49
Peremyshliany;Berezhany;49
Berezhany;Tysmenytsia;61
Tysmenytsia;Berezhany;61
Zmiiv;Kharkiv;34
Kharkiv;Zmiiv;34
Zmiiv;Pervomaiskyi;35
Pervomaiskyi;Zmiiv;35
Zmiiv;Merefa;35
Merefa;Zmiiv;35
Zmiiv;Pivdenne;38
Pivdenne;Zmiiv;38
Zmiiv;Chuhuiv;41
Chuhuiv;Zmiiv;41
Zmiiv;Liubotyn;52
Liubotyn;Zmiiv;52
Zmiiv;Derhachi;55
Derhachi;Zmiiv;55
Zmiiv;Balakliia;60
Balakliia;Zmiiv;60
Zmiiv;Valky;83
Valky;Zmiiv;83
Chuhuiv;Zmiiv;41
Zmiiv;Chuhuiv;41
Chuhuiv;Balakliia;45
Balakliia;Chuhuiv;45
Chuhuiv;Kharkiv;48
Kharkiv;Chuhuiv;48
Chuhuiv;Vovchansk;58
Vovchansk;Chuhuiv;58
Chuhuiv;Pivdenne;68
Pivdenne;Chuhuiv;68
Chuhuiv;Merefa;69
Merefa;Chuhuiv;69
Chuhuiv;Derhachi;70
Derhachi;Chuhuiv;70
Chuhuiv;Pervomaiskyi;72
Pervomaiskyi;Chuhuiv;72
Chuhuiv;Liubotyn;81
Liubotyn;Chuhuiv;81
Vovchansk;Chuhuiv;58
Chuhuiv;Vovchansk;58
Vovchansk;Kharkiv;83
Kharkiv;Vovchansk;83
Vovchansk;Balakliia;93
Balakliia;Vovchansk;93
Vovchansk;Derhachi;95
Derhachi;Vovchansk;95
Vovchansk;Zmiiv;95
Zmiiv;Vovchansk;95
Vovchansk;Kupiansk;98
Kupiansk;Vovchansk;98
Vovchansk;Pivdenne;108
Pivdenne;Vovchansk;108
Vovchansk;Merefa;112
Merefa;Vovchansk;112
Vovchansk;Liubotyn;117
Liubotyn;Vovchansk;117
Vuhledar;Kurakhove;23
Kurakhove;Vuhledar;23
Vuhledar;Hirnyk;33
Hirnyk;Vuhledar;33
Vuhledar;Marinka;34
Marinka;Vuhledar;34
Vuhledar;Volnovakha;35
Volnovakha;Vuhledar;35
Vuhledar;Ukrainsk;37
Ukrainsk;Vuhledar;37
Vuhledar;Krasnohorivka;38
Krasnohorivka;Vuhledar;38
Vuhledar;Selydove;41
Selydove;Vuhledar;41
Vuhledar;Novohrodivka;48
Novohrodivka;Vuhledar;48
Vuhledar;Dokuchaievsk;48
Dokuchaievsk;Vuhledar;48
Rozdilna;Biliaivka;44
Biliaivka;Rozdilna;44
Rozdilna;Teplodar;48
Teplodar;Rozdilna;48
Rozdilna;Bilhorod-Dnistrovskyi;80
Bilhorod-Dnistrovskyi;Rozdilna;80
Rozdilna;Odesa;83
Odesa;Rozdilna;83
Rozdilna;Chornomorsk;89
Chornomorsk;Rozdilna;89
Rozdilna;Ananiv;98
Ananiv;Rozdilna;98
Rozdilna;Berezivka;100
Berezivka;Rozdilna;100
